step,value
10000,27.243642807006836
20000,46.7332649230957
30000,65.1761245727539
40000,66.67745208740234
50000,76.69730377197266
60000,97.26457977294922
70000,101.52818298339844
80000,116.53636169433594
90000,138.5561981201172
100000,143.8324737548828
110000,149.2513427734375
120000,148.06903076171875
130000,146.97500610351562
140000,166.82400512695312
150000,145.045654296875
160000,166.03382873535156
170000,179.00479125976562
180000,221.14610290527344
190000,146.86798095703125
200000,192.81153869628906
