step,value
10000,23.116823196411133
20000,23.23163604736328
30000,23.624696731567383
40000,22.793962478637695
50000,24.326175689697266
60000,21.819419860839844
70000,22.369098663330078
80000,22.051612854003906
90000,23.892187118530273
100000,23.07508087158203
110000,21.657142639160156
120000,22.07664680480957
130000,21.892967224121094
140000,23.580150604248047
150000,21.96636390686035
160000,21.65805435180664
170000,23.014936447143555
180000,23.818124771118164
190000,21.084627151489258
200000,21.347885131835938
210000,24.071962356567383
220000,23.96544647216797
230000,24.5
240000,23.150617599487305
250000,22.430679321289062
260000,24.31735610961914
270000,22.289241790771484
280000,23.56931495666504
290000,20.423919677734375
300000,21.59189224243164
310000,23.1905574798584
320000,22.867231369018555
330000,22.0870304107666
340000,23.868711471557617
350000,21.151939392089844
360000,22.469505310058594
370000,22.327133178710938
380000,23.603181838989258
390000,21.720460891723633
400000,23.39459800720215
410000,21.770090103149414
420000,21.58473014831543
430000,23.586605072021484
440000,20.519054412841797
450000,22.89815330505371
460000,20.059553146362305
470000,21.432844161987305
480000,22.38833236694336
490000,23.026424407958984
500000,24.969804763793945
