step,value
73068,-2.006633758544922
73569,-1.9870620965957642
74069,-1.8695735931396484
74569,-1.556094765663147
75070,-1.5403409004211426
75570,-1.6028695106506348
76071,-1.533031702041626
76571,-1.5188193321228027
77072,-1.3766685724258423
77572,-1.6644172668457031
78073,-1.7890541553497314
78573,-1.960414171218872
79074,-2.0774471759796143
79574,-2.147949695587158
80075,-2.4207088947296143
80575,-2.334033489227295
81076,-2.082388162612915
81576,-1.7470256090164185
82076,-1.94150972366333
82577,-1.74431574344635
83077,-2.059717893600464
83578,-2.1822726726531982
84078,-2.2700467109680176
84579,-2.2332937717437744
85079,-2.1233630180358887
85580,-1.9680966138839722
86080,-2.143601417541504
86581,-2.2639617919921875
87081,-2.1310813426971436
87582,-2.265850782394409
88082,-2.2734315395355225
88583,-2.3670971393585205
89083,-2.4039804935455322
89584,-2.4940216541290283
90084,-2.212747097015381
90584,-2.2339417934417725
91085,-2.0958821773529053
91585,-1.9628688097000122
92086,-1.7975339889526367
92586,-1.789233922958374
93087,-1.7175379991531372
93587,-1.6373720169067383
94088,-1.8983068466186523
94588,-1.536647081375122
95089,-1.6834663152694702
95589,-1.4782130718231201
96090,-1.2983626127243042
96590,-0.9690725207328796
97091,-1.4333951473236084
97591,-1.3983937501907349
98092,-1.2847278118133545
98592,-1.2778241634368896
99092,-1.326909065246582
99593,-1.3683513402938843
100093,-1.1924607753753662
100594,-1.5482302904129028
101094,-1.454766869544983
101595,-1.6087373495101929
102095,-1.8430402278900146
102596,-2.241720676422119
103096,-2.442401885986328
103597,-2.5243234634399414
104097,-2.369037389755249
104598,-2.5199697017669678
105098,-2.67813777923584
105599,-2.426743984222412
106099,-2.5297629833221436
106599,-2.624114513397217
107100,-2.3762762546539307
107600,-2.532701015472412
108101,-2.7341301441192627
108601,-2.7915666103363037
109102,-2.5895464420318604
109602,-2.447007656097412
110103,-2.6828689575195312
110603,-2.734856367111206
111104,-2.285043716430664
111604,-2.1867384910583496
112105,-2.395209550857544
112605,-2.4706013202667236
113106,-2.5091028213500977
113606,-2.5842902660369873
114107,-2.4737749099731445
114607,-2.3550004959106445
115107,-2.402325391769409
115608,-2.2359812259674072
116108,-2.2096385955810547
116609,-2.2366931438446045
117109,-2.3959429264068604
117610,-2.3408970832824707
118110,-2.352036714553833
118611,-2.221419095993042
119111,-2.08811354637146
119612,-2.069925308227539
120112,-2.06581711769104
120613,-1.955305576324463
121113,-1.8069887161254883
121614,-1.6054980754852295
122114,-1.845076322555542
122615,-2.1716549396514893
123115,-2.300252676010132
123615,-1.8677217960357666
124116,-1.9147183895111084
124616,-2.021080493927002
125117,-2.5369555950164795
125617,-2.3203258514404297
126118,-2.408686399459839
126618,-2.2164816856384277
127119,-2.2475011348724365
127619,-2.135488271713257
128120,-2.068208932876587
128620,-2.0895447731018066
129121,-2.0851385593414307
129621,-1.8197617530822754
130122,-2.1588966846466064
130622,-2.261584997177124
131123,-2.1193735599517822
131623,-2.2542526721954346
132123,-2.260082721710205
132624,-2.2479617595672607
133124,-2.316541910171509
133625,-2.8281030654907227
134125,-2.424975872039795
134626,-2.6909966468811035
135126,-2.7439286708831787
135627,-2.9664602279663086
136127,-3.1570348739624023
136628,-3.116241216659546
137128,-2.9687840938568115
137629,-3.2394912242889404
138129,-3.501471519470215
138630,-3.9190454483032227
139130,-4.089219570159912
139630,-3.975337505340576
140131,-4.349740028381348
140631,-4.4460859298706055
141132,-4.892354488372803
141632,-5.231494426727295
142133,-5.410219669342041
142633,-5.325342655181885
143134,-5.249476432800293
143634,-5.654988765716553
144135,-5.676698207855225
144635,-5.939939975738525
145136,-5.714878082275391
145636,-5.622751712799072
146137,-5.636438846588135
146637,-5.212335109710693
147138,-5.525326251983643
147638,-5.350629806518555
148138,-5.412674903869629
148639,-4.708972930908203
149139,-4.875523090362549
149640,-4.807981014251709
150140,-5.101151943206787
150641,-5.345718860626221
151141,-4.680627346038818
151642,-4.830778121948242
152142,-4.723694324493408
152643,-4.92135763168335
153143,-5.00417423248291
153644,-5.258106231689453
154144,-5.6374335289001465
154645,-5.61036491394043
155145,-5.645476818084717
155646,-5.3270087242126465
156146,-4.871922016143799
156646,-4.461334705352783
157147,-4.488304615020752
157647,-4.906225681304932
158148,-4.936042308807373
158648,-5.0617594718933105
159149,-5.0846147537231445
159649,-4.690365791320801
160150,-4.332551956176758
160650,-4.324639797210693
161151,-4.650850772857666
161651,-4.406246185302734
162152,-4.73847770690918
162652,-4.563638687133789
163153,-5.021268367767334
163653,-4.801434516906738
164153,-4.7019500732421875
164654,-4.794642925262451
165154,-4.860265254974365
165655,-4.969689846038818
166155,-5.4667158126831055
166656,-5.557295799255371
167156,-6.125878810882568
167657,-5.270819187164307
168157,-4.799249649047852
168658,-5.2208967208862305
169158,-5.023159503936768
169659,-5.646142482757568
170159,-5.048860549926758
170660,-5.427338123321533
171160,-6.033585071563721
171661,-6.421267509460449
172161,-6.861101150512695
172661,-6.931829929351807
173162,-7.036581516265869
173662,-6.748088359832764
174163,-6.687992095947266
174663,-6.738842487335205
175164,-6.059908866882324
175664,-6.064854621887207
176165,-5.996542930603027
176665,-5.671831130981445
177166,-5.923900604248047
177666,-6.28024959564209
178167,-6.327683925628662
178667,-6.0510454177856445
179168,-5.827019214630127
179668,-5.756466388702393
180169,-6.144453048706055
180669,-5.8627753257751465
181169,-5.523662567138672
181670,-5.344717979431152
182170,-4.326310634613037
182671,-4.230876445770264
183171,-3.763302803039551
183672,-4.023116588592529
184172,-3.5233824253082275
184673,-2.9871325492858887
185173,-2.6471750736236572
185674,-2.7223129272460938
186174,-3.152111291885376
186675,-3.5322279930114746
187175,-3.455824851989746
187676,-3.1210291385650635
188176,-2.6380181312561035
188676,-2.4069724082946777
189177,-2.465202569961548
189677,-3.49288010597229
190178,-3.37752366065979
190678,-2.9486660957336426
191179,-2.8717703819274902
191679,-2.8405535221099854
192180,-2.390416383743286
192680,-2.215383529663086
193181,-2.431342840194702
193681,-2.3363122940063477
194182,-2.4877090454101562
194682,-1.9133663177490234
195183,-1.8369004726409912
195683,-1.4158493280410767
196184,-1.0240380764007568
196684,-1.370942234992981
197184,-1.1616671085357666
197685,-1.2918838262557983
198185,-0.8992535471916199
198686,-0.9979502558708191
199186,-1.6743125915527344
199687,-1.6006442308425903
200187,-1.3650875091552734
200688,-1.5942003726959229
201188,-1.7911813259124756
201689,-1.699876070022583
202189,-1.413779377937317
202690,-0.9394509196281433
203190,-1.1906465291976929
203691,-1.204505205154419
204191,-1.2168956995010376
204692,-1.7816150188446045
205192,-1.477275013923645
205692,-1.5287950038909912
206193,-0.809899091720581
206693,0.016946883872151375
207194,-0.5443403720855713
207694,-0.780735194683075
208195,-0.4928717315196991
208695,-0.8334159851074219
209196,-0.8748058080673218
209696,-1.1033129692077637
210197,-0.6490305066108704
210697,-0.05346181243658066
211198,0.01672220230102539
211698,0.08721667528152466
212199,0.31260669231414795
212699,0.27462440729141235
213199,0.3092705309391022
213700,0.26976606249809265
214200,0.352308064699173
214701,0.29039138555526733
215201,-0.5473491549491882
215702,-1.194930076599121
216202,-0.9244303703308105
216703,-0.6866389513015747
217203,-0.4889998733997345
217704,-0.0886128768324852
218204,-0.0009951324900612235
218705,-0.04923269897699356
219205,-0.7358963489532471
219706,-1.5569151639938354
220206,-1.3559964895248413
220707,-1.1736884117126465
221207,-0.8036051392555237
221707,-0.22872081398963928
222208,-0.458980530500412
222708,-0.712875485420227
223209,-2.018808126449585
223709,-1.982596755027771
224210,-2.1094741821289062
224710,-1.5774019956588745
225211,-1.7402734756469727
225711,-1.806774377822876
226212,-2.169062852859497
226712,-2.660519599914551
227213,-2.4522948265075684
227713,-2.5580523014068604
228214,-2.460339307785034
228714,-2.590503454208374
229215,-1.8772228956222534
229715,-2.1554484367370605
230215,-2.3342952728271484
230716,-2.2477316856384277
231216,-3.5381412506103516
231717,-3.793473243713379
232217,-4.078740119934082
232718,-4.612681865692139
233218,-5.2897629737854
233719,-4.8925957679748535
234219,-5.122476577758789
234720,-5.4252753257751465
235220,-5.5092692375183105
235721,-5.378742218017578
236221,-5.777799129486084
236722,-5.121104717254639
237222,-6.194575309753418
237722,-6.78631591796875
238223,-7.197250843048096
238723,-6.634963512420654
239224,-6.882957935333252
239724,-6.613386631011963
240225,-6.8507184982299805
240725,-7.040788173675537
241226,-8.305286407470703
241726,-7.886655807495117
242227,-7.560425758361816
242727,-7.315109729766846
243228,-6.722078323364258
243728,-6.434421062469482
244229,-6.725574493408203
244729,-5.865320205688477
245230,-5.793502330780029
245730,-6.150679588317871
246230,-5.80678129196167
246731,-5.289507865905762
247231,-4.613800048828125
247732,-4.746121883392334
248232,-4.629332542419434
248733,-4.7153120040893555
249233,-4.9091362953186035
249734,-4.853505611419678
250234,-5.419518947601318
250735,-6.316035747528076
251235,-6.364593982696533
251736,-6.353219032287598
252236,-6.369334697723389
252737,-6.937546730041504
253237,-7.806504726409912
253738,-7.674185752868652
254238,-8.149755477905273
254738,-8.34360122680664
255239,-8.858051300048828
255739,-8.659920692443848
256240,-8.2439546585083
256740,-7.984047889709473
257241,-7.607485294342041
257741,-7.610260009765625
258242,-8.10452938079834
258742,-7.963418483734131
259243,-7.717724323272705
259743,-8.24496841430664
260244,-8.953168869018555
260744,-9.641682624816895
261245,-8.930132865905762
261745,-9.975327491760254
262246,-9.74027156829834
262746,-9.173724174499512
263246,-10.30510425567627
263747,-10.156328201293945
264247,-10.63821029663086
264748,-10.01182746887207
265248,-10.261247634887695
265749,-9.683362007141113
266249,-9.81100845336914
266750,-10.166951179504395
267250,-9.806788444519043
267751,-8.986249923706055
268251,-9.76513671875
268752,-9.236406326293945
269252,-10.122904777526855
269753,-9.680449485778809
270253,-10.582778930664062
270753,-10.677275657653809
271254,-10.388701438903809
271754,-10.40869140625
272255,-10.160545349121094
272755,-9.516382217407227
273256,-9.058184623718262
273756,-9.169327735900879
274257,-9.343799591064453
274757,-9.286378860473633
275258,-9.529193878173828
275758,-9.351383209228516
276259,-9.636241912841797
276759,-9.970723152160645
277260,-10.226337432861328
277760,-10.079642295837402
278261,-9.784518241882324
278761,-9.476590156555176
279261,-8.772197723388672
279762,-8.685478210449219
280262,-8.380781173706055
280763,-8.393912315368652
281263,-8.869068145751953
281764,-8.7666654586792
282264,-7.943582057952881
282765,-7.286140441894531
283265,-7.1248393058776855
283766,-6.419955253601074
284266,-5.565299034118652
284767,-4.266009330749512
285267,-4.3461594581604
285768,-4.184695243835449
286268,-3.1699631214141846
286769,-3.9236321449279785
287269,-4.123160362243652
287769,-3.7108170986175537
288270,-3.581629514694214
288770,-4.836567401885986
289271,-4.933938503265381
289771,-5.9498209953308105
290272,-6.564329147338867
290772,-6.755736827850342
291273,-6.683938503265381
291773,-6.5138959884643555
292274,-6.8542633056640625
292774,-7.473944187164307
293275,-6.907004356384277
293775,-7.265396595001221
294276,-7.989049434661865
294776,-8.00286865234375
295276,-8.099222183227539
295777,-7.778841972351074
296277,-7.6352667808532715
296778,-6.4010009765625
297278,-6.774362564086914
297779,-6.748987197875977
298279,-7.296527862548828
298780,-6.830826282501221
299280,-5.741868019104004
299781,-6.033437252044678
300281,-5.246997833251953
300782,-4.595411777496338
301282,-4.442692279815674
301783,-4.126516819000244
302283,-2.6625816822052
302784,-1.9971098899841309
303284,-1.642622709274292
303784,-0.9988613724708557
304285,-1.0205785036087036
304785,-0.5260313749313354
305286,-0.5467898845672607
305786,0.2634781002998352
306287,-0.00039597658906131983
306787,0.48020556569099426
307288,-0.8974296450614929
307788,-1.2827141284942627
308289,-0.823311984539032
308789,-0.993574321269989
309290,-0.7684575915336609
309790,-1.3027732372283936
310291,-1.807425618171692
310791,-1.9412356615066528
311292,-2.2025623321533203
311792,-1.9778287410736084
312292,-1.1560014486312866
312793,-0.3827424943447113
313293,-0.5363245606422424
313794,-1.4441746473312378
314294,-2.5786938667297363
314795,-1.357593059539795
315295,-1.1636531352996826
315796,-1.554978370666504
316296,-2.061709403991699
316797,-2.30770206451416
317297,-2.62088942527771
317798,-2.433502435684204
318298,-4.114877700805664
318799,-4.922910213470459
319299,-5.0784010887146
319799,-3.6004090309143066
320300,-3.2464213371276855
320800,-3.973684072494507
321301,-4.064555644989014
321801,-2.5954740047454834
322302,-2.9690754413604736
322802,-3.070512056350708
323303,-2.890864133834839
323803,-1.965037226676941
324304,-0.9178361296653748
324804,-2.709374189376831
325305,-2.1002509593963623
325805,-2.3097753524780273
326306,-1.315801978111267
326806,-1.8344862461090088
327307,-1.7295664548873901
327807,-1.396875262260437
328307,-2.539144515991211
328808,-1.9012633562088013
329308,-2.753366470336914
329809,-2.880953550338745
330309,-2.1992335319519043
330810,-2.6553757190704346
331310,-2.159674882888794
331811,-2.0985658168792725
332311,-2.9727368354797363
332812,-3.3956384658813477
333312,-2.4477548599243164
333813,-2.2102513313293457
334313,-2.831066608428955
334814,-3.7656137943267822
335314,-3.893045663833618
335815,-4.035091400146484
336315,-5.332496643066406
336815,-6.90252161026001
337316,-7.260979175567627
337816,-8.251466751098633
338317,-7.81029748916626
338817,-7.706362247467041
339318,-8.564824104309082
339818,-8.015142440795898
340319,-8.695453643798828
340819,-9.787041664123535
341320,-9.705168724060059
341820,-10.18554973602295
342321,-10.339920043945312
342821,-10.150787353515625
343322,-10.4138765335083
343822,-10.572811126708984
344322,-11.06671142578125
344823,-11.334087371826172
345323,-11.377994537353516
345824,-10.531599998474121
346324,-11.256553649902344
346825,-10.824440002441406
347325,-10.196183204650879
347826,-10.140534400939941
348326,-9.422529220581055
348827,-10.122041702270508
349327,-12.008264541625977
349828,-11.293830871582031
350328,-11.259584426879883
350829,-9.45115852355957
351329,-11.67136001586914
351830,-10.72993278503418
352330,-11.136207580566406
352830,-11.967991828918457
353331,-12.638838768005371
353831,-13.71300220489502
354332,-13.464606285095215
354832,-12.0447998046875
355333,-12.713204383850098
355833,-13.469930648803711
356334,-12.80533504486084
356834,-11.923032760620117
357335,-12.080639839172363
357835,-14.545172691345215
358336,-15.367366790771484
358836,-14.81386947631836
359337,-16.3612060546875
359837,-16.338115692138672
360338,-15.543343544006348
360838,-15.258715629577637
361338,-15.34749984741211
361839,-15.5582914352417
362339,-16.204654693603516
362840,-16.736621856689453
363340,-17.380104064941406
363841,-16.3413028717041
364341,-15.971410751342773
364842,-15.904131889343262
365342,-15.849967956542969
365843,-16.794677734375
366343,-16.688634872436523
366844,-15.992570877075195
367344,-16.5467529296875
367845,-15.23741340637207
368345,-14.156440734863281
368845,-13.948213577270508
369346,-14.687389373779297
369846,-16.09609603881836
370347,-16.29353141784668
370847,-15.020455360412598
371348,-15.67837142944336
371848,-14.636956214904785
372349,-14.935125350952148
372849,-13.868436813354492
373350,-14.562689781188965
373850,-15.823797225952148
374351,-15.57945728302002
374851,-16.59909439086914
375352,-15.226932525634766
375852,-13.968027114868164
376353,-14.639008522033691
376853,-14.661966323852539
377353,-14.244487762451172
377854,-13.15478229522705
378354,-13.054939270019531
378855,-13.55501937866211
379355,-13.584811210632324
379856,-13.97761058807373
380356,-14.47464370727539
380857,-13.333256721496582
381357,-10.83180046081543
381858,-10.202491760253906
382358,-10.21930980682373
382859,-10.414697647094727
383359,-9.420289039611816
383860,-10.829337120056152
384360,-9.443988800048828
384861,-8.800365447998047
385361,-8.044361114501953
385861,-10.163285255432129
386362,-9.898974418640137
386862,-9.942229270935059
387363,-9.491918563842773
387863,-10.5299072265625
388364,-10.847919464111328
388864,-11.704312324523926
389365,-10.870059967041016
389865,-12.243790626525879
390366,-12.811779022216797
390866,-13.198385238647461
391367,-12.521378517150879
391867,-13.147890090942383
392368,-13.892765045166016
392868,-13.17262077331543
393369,-13.274552345275879
393869,-14.292269706726074
394369,-14.243106842041016
394870,-13.954813957214355
395370,-12.999531745910645
395871,-13.307218551635742
396371,-13.532164573669434
396872,-13.604132652282715
397372,-14.046957015991211
397873,-14.010204315185547
398373,-13.179454803466797
398874,-12.638952255249023
399374,-12.133131980895996
399875,-13.144309043884277
400375,-12.857097625732422
400876,-12.88125228881836
401376,-13.433635711669922
401876,-13.578322410583496
402377,-14.252222061157227
402877,-13.941272735595703
403378,-13.425580024719238
403878,-12.707906723022461
404379,-12.690314292907715
404879,-12.308670043945312
405380,-11.702218055725098
405880,-11.563743591308594
406381,-11.175373077392578
406881,-11.643146514892578
407382,-11.119272232055664
407882,-12.574882507324219
408383,-12.927560806274414
408883,-14.506340026855469
409384,-14.685491561889648
409884,-14.967796325683594
410384,-15.011577606201172
410885,-14.99249267578125
411385,-16.28035545349121
411886,-15.830995559692383
412386,-16.336467742919922
412887,-15.929189682006836
413387,-16.11456871032715
413888,-16.426557540893555
414388,-16.61639976501465
414889,-16.049610137939453
415389,-17.801647186279297
415890,-17.85210609436035
416390,-17.057435989379883
416891,-17.155580520629883
417391,-16.504880905151367
417892,-15.552628517150879
418392,-15.997323036193848
418892,-15.821948051452637
419393,-16.915178298950195
419893,-17.16668128967285
420394,-19.113170623779297
420894,-20.029926300048828
421395,-19.862207412719727
421895,-20.09617042541504
422396,-19.620182037353516
422896,-20.16910171508789
423397,-21.005050659179688
423897,-19.949703216552734
424398,-19.876604080200195
424898,-20.587717056274414
425399,-20.68978500366211
425899,-20.740604400634766
426399,-20.97058868408203
426900,-21.12455940246582
427400,-22.638484954833984
427901,-21.484378814697266
428401,-22.14240837097168
428902,-21.143953323364258
429402,-19.58165740966797
429903,-19.971668243408203
430403,-19.97764778137207
430904,-21.365859985351562
431404,-20.640277862548828
431905,-20.47957420349121
432405,-21.248762130737305
432906,-20.058008193969727
433406,-20.493694305419922
433907,-20.260648727416992
434407,-19.743730545043945
434907,-20.067535400390625
435408,-20.165809631347656
435908,-19.622976303100586
436409,-19.659950256347656
436909,-20.138551712036133
437410,-21.82530403137207
437910,-21.51807975769043
438411,-22.696413040161133
438911,-22.447479248046875
439412,-22.092418670654297
439912,-20.984825134277344
440413,-22.27625274658203
440913,-22.3718204498291
441414,-22.8040828704834
441914,-24.03309440612793
442415,-23.462900161743164
442915,-23.503450393676758
443415,-21.44810676574707
443916,-21.399002075195312
444416,-21.2711124420166
444917,-21.67143440246582
445417,-23.24366569519043
445918,-22.11988639831543
446418,-22.175270080566406
446919,-23.503156661987305
447419,-22.906702041625977
447920,-22.479557037353516
448420,-21.71809196472168
448921,-20.979909896850586
449421,-22.65945816040039
449922,-20.65849494934082
450422,-20.590530395507812
450922,-22.131969451904297
451423,-21.608964920043945
451923,-20.553970336914062
452424,-20.04873275756836
452924,-17.75525665283203
453425,-17.064462661743164
453925,-17.421306610107422
454426,-16.88750648498535
454926,-18.06358528137207
455427,-16.678009033203125
455927,-16.704845428466797
456428,-18.123836517333984
456928,-18.33733558654785
457429,-17.65044403076172
457929,-17.643569946289062
458430,-18.869949340820312
458930,-20.02403450012207
459430,-21.179969787597656
459931,-22.5345458984375
460431,-23.269079208374023
460932,-23.265663146972656
461432,-23.293262481689453
461933,-23.36914825439453
462433,-23.81131935119629
462934,-23.749177932739258
463434,-23.369831085205078
463935,-23.25516128540039
464435,-22.638803482055664
464936,-24.019817352294922
465436,-25.92892074584961
465937,-24.820507049560547
466437,-24.603164672851562
466938,-24.648616790771484
467438,-22.824024200439453
467938,-22.925039291381836
468439,-22.689435958862305
468939,-21.88684844970703
469440,-22.743419647216797
469940,-23.335224151611328
470441,-23.939105987548828
470941,-24.497949600219727
471442,-25.020811080932617
471942,-25.955060958862305
472443,-26.624128341674805
472943,-27.426565170288086
473444,-29.225980758666992
473944,-29.447803497314453
474445,-29.64519691467285
474945,-28.60144805908203
475445,-27.891080856323242
475946,-27.91009521484375
476446,-27.35227394104004
476947,-26.710994720458984
477447,-27.940462112426758
477948,-27.754718780517578
478448,-27.537626266479492
478949,-28.102497100830078
479449,-29.09965705871582
479950,-29.637548446655273
480450,-28.26887321472168
480951,-28.453554153442383
481451,-29.143177032470703
481952,-30.615236282348633
482452,-30.23497772216797
482953,-30.784975051879883
483453,-29.76382064819336
483953,-30.20486831665039
484454,-31.223295211791992
484954,-29.249027252197266
485455,-29.26543426513672
485955,-30.39592742919922
486456,-30.58601951599121
486956,-31.92668914794922
487457,-33.88185501098633
487957,-33.17828369140625
488458,-33.16584014892578
488958,-33.28561019897461
489459,-31.26973533630371
489959,-32.801719665527344
490460,-32.15276336669922
490960,-33.837989807128906
491461,-33.18208694458008
491961,-31.85989761352539
492461,-31.049488067626953
492962,-31.38325309753418
493462,-31.775123596191406
493963,-32.35816955566406
494463,-31.608835220336914
494964,-31.466426849365234
495464,-31.142446517944336
495965,-32.468116760253906
496465,-32.38321304321289
496966,-30.941577911376953
497466,-31.186464309692383
497967,-30.78606605529785
498467,-29.0974178314209
498968,-28.911344528198242
499468,-28.797122955322266
499969,-29.708703994750977
