step,value
35,7.800000190734863
56,5.900000095367432
97,23.049999237060547
107,1.2999999523162842
138,7.0
182,68.94999694824219
202,28.649999618530273
239,56.54999923706055
279,13.25
287,0.800000011920929
301,2.4000000953674316
339,14.149999618530273
381,28.25
427,55.0
460,12.100000381469727
502,12.300000190734863
507,0.10000002384185791
566,57.45000076293945
604,19.899999618530273
609,0.10000002384185791
624,2.8499999046325684
668,64.8499984741211
705,19.649999618530273
765,72.30000305175781
805,32.45000076293945
845,38.900001525878906
885,11.699999809265137
925,9.25
966,71.44999694824219
1005,28.94999885559082
1023,29.0
1066,44.45000076293945
1112,59.89999771118164
1129,3.3499999046325684
1166,38.150001525878906
1208,53.25
1253,86.8499984741211
1307,71.44999694824219
1327,38.400001525878906
1364,54.849998474121094
1407,71.69999694824219
1447,19.700000762939453
1490,41.400001525878906
1527,41.349998474121094
1571,72.0999984741211
1628,113.04999542236328
1668,69.25
1714,91.69999694824219
1770,75.0999984741211
1836,108.44999694824219
1893,82.5999984741211
1931,72.69999694824219
1973,72.4000015258789
1978,5.75
2032,59.29999923706055
2072,54.04999923706055
2117,90.69999694824219
2176,97.55000305175781
2239,146.8000030517578
2294,90.8499984741211
2341,84.94999694824219
2417,130.89999389648438
2461,84.1500015258789
2525,90.8499984741211
2639,246.14999389648438
2682,84.69999694824219
2683,-0.949999988079071
2684,-0.949999988079071
2685,-0.949999988079071
2686,-0.949999988079071
2687,-0.8999999761581421
2764,140.89999389648438
2841,176.10000610351562
2927,176.10000610351562
2989,113.55000305175781
3048,98.3499984741211
3144,166.6999969482422
3187,95.1500015258789
3227,90.25
3288,145.5
3329,82.4000015258789
3389,99.30000305175781
3492,233.5500030517578
3553,90.05000305175781
3752,401.0
3852,191.89999389648438
3929,136.85000610351562
4012,177.0
4170,360.5
4352,411.79998779296875
4353,-0.75
4354,-0.75
4355,-0.75
4356,-0.75
4436,136.6999969482422
4438,-0.699999988079071
4577,280.0
4818,469.8500061035156
4915,167.89999389648438
5077,340.70001220703125
5135,74.1500015258789
5180,111.5
5260,137.5500030517578
5380,238.75
5481,167.4499969482422
5544,100.94999694824219
