step,value
10000,24.06337547302246
20000,21.65281867980957
30000,24.077491760253906
40000,21.717384338378906
50000,23.875465393066406
60000,22.3206844329834
70000,23.17774200439453
80000,22.605215072631836
90000,22.56310272216797
100000,23.863948822021484
110000,21.996129989624023
120000,25.37476348876953
130000,22.15865135192871
140000,22.984638214111328
150000,23.244327545166016
160000,22.84954833984375
170000,21.83735466003418
180000,22.881288528442383
190000,23.087047576904297
200000,22.938718795776367
