step,value
10000,21.269824981689453
20000,22.77286148071289
30000,20.78396987915039
40000,20.363676071166992
50000,22.924772262573242
60000,22.335905075073242
70000,21.982698440551758
80000,23.28506088256836
90000,21.985734939575195
100000,23.017410278320312
110000,22.398054122924805
120000,22.171707153320312
130000,21.295869827270508
140000,22.82257652282715
150000,23.914005279541016
160000,23.265090942382812
170000,21.749422073364258
180000,21.987869262695312
190000,21.205015182495117
200000,22.30813217163086
